/* Frontend */
"Day:", "Tag:"
"Month:", "Monat:"
"Year:", "Jahr:"
/* Frontend */

/*Adminhtml*/
"Verification Page", "Überprüfung Seite"
"Info", "Informationen"
    "Module Version", "Modul Version"
    "Last Update", "Letzte Aktualisieren"
    "Description", "Beschreibung"
"Settings", "Einstellungen"
    "Enable For Frontend", "Aktivieren Für Frontend"
        "Enable", "Aktivieren"
        "Disable", "Deaktivieren"
        "<strong>enable / disable</strong><br>Enable or disable module at frontend", "<strong>aktivieren / deaktivieren</strong><br>Aktivieren oder deaktivieren modul"
    "Global Verification", "Weltweit Überprüfung"
        "<strong>enable / disable</strong><br>Enable verification popup at all site pages", "<strong>aktivieren / deaktivieren</strong><br>Enable verification popup at all site pages"
    "Single Check", "Einzel Prüfen"
        "<strong>enable / disable</strong><br>Check age only one time", "<strong>aktivieren / deaktivieren</strong><br>Check age only one time"  
    "Verification Age <span class='required'>*</span>", "Überprüfung Alter <span class='required'>*</span>"
        "<strong>in [1..100] years</strong><br>Minimal allowed age", "<strong>in [1..100] jahre</strong><br>Minimal allowed age"
"Popup Window Content", "Popup Fenster Inhalt"
    "Logo", "Emblem"
        "State", "Zustand"
            "<strong>enable / disable</strong><br>Image block will be added to popup if option is enable", "<strong>aktivieren / deaktivieren</strong><br>Image block will be added to popup if option is enable"
        "Image", "Bild"
        "Width <span class='required'>*</span>", "Breite <span class='required'>*</span>"
            "<strong>in [1..500] px</strong>", "<strong>in [1..500] px</strong>"
        "Height <span class='required'>*</span>", "Höhe <span class='required'>*</span>"
            "--<strong>in [1..500] px</strong>", "<strong>in [1..500] px</strong>"
        "Keep Image Ratio", "Halten Sie Bild-Verhältnis"
            "Yes", "Ja"
            "No", "Nicht"
    "Text1", "Text1"
        "---State", "Zustand"
            "<strong>enable / disable</strong><br>First text section will be added to popup if option is enable", "<strong>aktivieren / deaktivieren</strong><br>First text section will be added to popup if option is enable"
        "Content <span class='required'>*</span>", "Inhalt <span class='required'>*</span>"
            "HTML tags are allowed", "HTML tags sind erlaubt"
    "Buttons", "Taste"
        "---State", "Zustand"
            "Only Buttons", "Nur Schaltflächen"
            "With Select", "Mit Wählen"
            "<strong>only buttons / with select</strong><br>Verification select with buttons or only buttons will be added to popup", "<strong>nur schaltflächen / mit wählen</strong><br>Verification select with buttons or only buttons will be added to popup"
        "Leave Text <span class='required'>*</span>", "Verlassen Text <span class='required'>*</span>"
        "Enter Text <span class='required'>*</span>", "Eingeben Text <span class='required'>*</span>"
    "Text2", "Text2"
        "---State", "Zustand"
            "<strong>enable / disable</strong><br>Second text section will be added to popup if option is enable", "<strong>aktivieren / deaktivieren</strong><br>Second text section will be added to popup if option is enable"
        "---Content <span class='required'>*</span>", "Inhalt <span class='required'>*</span>"
            "---HTML tags are allowed", "HTML tags sind erlaubt"
    "Confirmation Checkbox", "Bestätigung Checkbox"
        "---State", "Zustand"
            "<strong>enable / disable</strong><br>Confirmation checkbox will be added to popup if option is enable", "<strong>aktivieren / deaktivieren</strong><br>Confirmation checkbox will be added to popup if option is enable"
        "Text <span class='required'>*</span>", "Text <span class='required'>*</span>"
"Advanced Settings", "Erweiterte Einstellungen"
    "Custom CSS Styles", "Benutzerdefinierte CSS Stile"
    "---State", "Zustand"
        "<strong>enable / disable</strong><br>This css code will be added to page if option is enable", "<strong>aktivieren / deaktivieren</strong><br>This css code will be added to page if option is enable"
    "Styles <span class='required'>*</span>", "Stil <span class='required'>*</span>"
/*Adminhtml*/
