sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,alternate_sku,base_color,bottle_size,color,cost,cost_price,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,do_not_discount,ebizmarts_mark_visited,gallery,gift_message_available,has_options,image,image_label,is_qty_decimal,item_no,mah,manufacturer,manufacturer_upc,media_gallery,meta_description,meta_keyword,meta_title,mfr_sugg_price,minimal_price,min_qty_to_sale,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,nicotine_strength,ohm,options_container,page_layout,pos_product_status,prd_id,prd_return,prd_supplier_id,price,qty_increments,required_options,short_description,simple_prd_name,small_image,small_image_label,special_from_date,special_price,special_to_date,status,store_price,style,sync_prd_create,sync_status,sync_update_msg,tank_color,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,verpage_catalog_product,visibility,volume,weight,qty,min_qty,use_config_min_qty,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled,_super_products_sku,_super_attribute_code,_super_attribute_option,_super_attribute_price_corr
KEV2-T-BL,,Tanks,simple,,,base,,,,Black,,,,"2014-09-28 17:05:08",,,,,"Kanger EVOD 2 (Black)",,No,,,0,no_selection,,0,,,Kanger,,,,,,,,,,"Use config","Use config","Kanger EVOD 2 (Black)",,,,,"Product Info Column",,,,,,6.9900,0.0000,0,"Kanger EVOD 2 (Black)",,no_selection,,,,,1,6.9900,,,0,,,2,no_selection,,"2014-12-02 02:08:21",kanger-evod-2-black,kanger-evod-2-black.html,No,1,,1.0000,-1.0000,0.0000,1,0,1,1.0000,1,0.0000,1,0,,1,0,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
KEV2-T-S,,Tanks,simple,,,base,,,,SIlver,,,,"2014-09-28 17:07:22",,,,,"Kanger EVOD 2 (Silver)",,No,,,0,no_selection,,0,,,Kanger,,,,,,,,,,"Use config","Use config","Kanger EVOD 2 (Silver)",,,,,"Product Info Column",,,,,,6.9900,0.0000,0,"Kanger EVOD 2 (Silver)",,no_selection,,,,,1,6.9900,,,0,,,2,no_selection,,"2014-12-02 02:05:08",kanger-evod-2-black,kanger-evod-2-black-49.html,No,1,,1.0000,0.0000,0.0000,1,0,1,1.0000,1,0.0000,1,0,,1,0,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
KEV2-T-PU,,Tanks,simple,,,base,,,,Purple,,,,"2014-09-28 17:14:10",,,,,"Kanger EVOD 2 (Purple)",,No,,,0,no_selection,,0,,,Kanger,,,,,,,,,,"Use config","Use config","Kanger EVOD 2 (Purple)",,,,,"Product Info Column",,,,,,6.9900,0.0000,0,"Kanger EVOD 2 (Purple)",,no_selection,,,,,1,6.9900,,,0,,,2,no_selection,,"2014-12-02 02:10:22",kanger-evod-2-purple,kanger-evod-2-purple.html,No,1,,1.0000,0.0000,0.0000,1,0,1,1.0000,1,0.0000,1,0,,1,0,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
KEV2-T-R,,Tanks,simple,,,base,,,,Red,,,,"2014-09-28 17:15:21",,,,,"Kanger EVOD 2 (Red)",,No,,,0,no_selection,,0,,,Kanger,,,,,,,,,,"Use config","Use config","Kanger EVOD 2 (Red)",,,,,"Product Info Column",,,,,,6.9900,0.0000,0,"Kanger EVOD 2 (Red)",,no_selection,,,,,1,6.9900,,,0,,,2,no_selection,,"2014-12-02 02:03:47",kanger-evod-2-red,kanger-evod-2-red.html,No,1,,1.0000,0.0000,0.0000,1,0,1,1.0000,1,0.0000,1,0,,1,0,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
KEV2-T-P,,Tanks,simple,,,base,,,,Pink,,,,"2014-09-28 17:16:10",,,,,"Kanger EVOD 2 (Pink)",,No,,,0,no_selection,,0,,,Kanger,,,,,,,,,,"Use config","Use config","Kanger EVOD 2 (Pink)",,,,,"Product Info Column",,,,,,6.9900,0.0000,0,"Kanger EVOD 2 (Pink)",,no_selection,,,,,1,6.9900,,,0,,,2,no_selection,,"2014-12-02 02:06:41",kanger-evod-2-red,kanger-evod-2-red-121.html,No,1,,1.0000,-1.0000,0.0000,1,0,1,1.0000,1,0.0000,1,0,,1,0,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
KEV2-T-G,,Tanks,simple,,,base,,,,Green,,,,"2014-09-28 17:16:56",,,,,"Kanger EVOD 2 (Green)",,No,,,0,no_selection,,0,,,Kanger,,,,,,,,,,"Use config","Use config","Kanger EVOD 2 (Green)",,,,,"Product Info Column",,,,,,6.9900,0.0000,0,"Kanger EVOD 2 (Green)",,no_selection,,,,,1,6.9900,,,0,,,2,no_selection,,"2014-12-02 02:04:10",kanger-evod-2-red,kanger-evod-2-red-122.html,No,1,,1.0000,0.0000,0.0000,1,0,1,1.0000,1,0.0000,1,0,,1,0,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
KEV2-T-B,,Tanks,simple,,,base,,,,Blue,,,,"2014-09-28 17:19:06",,,,,"Kanger EVOD 2 (Blue)",,No,,,0,no_selection,,0,,,Kanger,,,,,,,,,,"Use config","Use config","Kanger EVOD 2 (Blue)",,,,,"Product Info Column",,,,,,6.9900,0.0000,0,"Kanger EVOD 2 (Blue)",,no_selection,,,,,1,6.9900,,,0,,,2,no_selection,,"2014-12-02 02:07:41",kanger-evod-2-red,kanger-evod-2-red-123.html,No,1,,1.0000,0.0000,0.0000,1,0,1,1.0000,1,0.0000,1,0,,1,0,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
"KangerEVOD1000 MAH",,Batteries,configurable,,Inventory,base,,,,,,14.9900,,"2014-09-28 18:45:52",,,,,"Kanger EVOD 1000 MAH Battery Only

<p>The Kanger EVOD 1000 MaH Battery is great for an all day vape! These small e-cigarettes get nearly 1,000 draws on a single change! Just like the 650's they get around 300 charges in their lifespan! </p>
<ul>

     <li>510 Connection for easy tank swapping</li>
     <li>5 Click Easy On/Off Feature</li>
     <li>Convenient and Compact Size</li>
     <li>Great all day Vape</li>
     <li>3.7 Volt Output</li>
     <li>Matching Tanks Available</li>
</ul>",,No,,,1,/e/v/evod-1000-group.jpg,"Kanger EVOD 1000 MAH Battery ",No,,,Kanger,,,"Kanger EVOD 1000 MAH Battery is a great battery for people on the go! It also makes a great starter battery for people new to vaping. Try one today!",,,,,,0.0000,"Use config","Use config","Kanger EVOD 1000 MAH Battery",,,,,"Product Info Column",,Enabled,,Yes,,14.9900,0.0000,1,"Kanger EVOD 1000 MAH

Available in Pink, Green, Purple, and Red.

Longer lasting than the 650 MaH, the Kanger EVOD 1000 MaH battery has the same great ease of use and convenience as the 650 MaH. This is a great work vape since it will last all day! ",,/e/v/evod-1000-group.jpg,"Kanger EVOD 1000 MAH Battery ","2000-01-12 00:00:00",0.0000,"2000-01-12 00:00:00",1,14.9900,,,1,,,2,/e/v/evod-1000-group.jpg,"Kanger EVOD 1000 MAH Battery ","2014-12-05 04:38:14",kanger-evod-1000-mah,kanger-evod-1000-mah.html,No,4,,,0.0000,0.0000,1,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,1,0,0,,,,,,,,,,,,,,,,,88,/e/v/evod-1000-purple.jpg,"Kanger EVOD 1000 MAH Battery Purple",3,0,KEV1KB,color,Blue,
,,,,E-Cigarettes,Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/e/v/evod-1000-pink.jpg,"Kanger EVOD 1000 MAH Battery Pink",4,0,KEV1KG,color,Green,
,,,,E-Cigarettes/Kanger,Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/e/v/evod-1000-red.jpg,"Kanger EVOD 1000 MAH Battery Red",5,0,KEV1KP,color,Purple,
